# 方块/物品ID - 中文名称查询表
# 每行一个，格式为：ID,中文名称
# 注释（以 # 开头）、空行（含 Trim 后）载入时均会忽略
#
# 具体执行过程中，对于新旧版本 ID 处理方式如下：
# （以下提到旧版时，即指1.12（1.13扁平化以前），新版即1.13扁平化以后）
#
# 1.重命名：分两种情况：
#
# 　　　　　一：新 ID 与旧 ID 完全不同，新旧 ID 在相对的版本中完全不存在。
# 　　　　　　　如：草方块的 ID grass 变成 grass_block，新版中没有 grass，旧版中也没有 grass_block。
# 　　　　　　　此种情况可用唯一 ID 的形式查询，本表中无特殊前缀（但可能会额外写一行注释）。
#
# 　　　　　二：新 ID 与旧 ID 完全不同，但新旧 ID 在相对版本中相互存在，且可能指代完全不同的方块/物品。
# 　　　　　　　如：西瓜片在旧版中的 ID 为 melon，在新版中被重命名为 melon_slice，
# 　　　　　　　　　同时 melon 被复用为西瓜的 ID，原西瓜的 ID（melon_block）新版中被彻底放弃。
# 　　　　　　　对于此种情况，交叉的 ID 将被重复撰写带有~前缀的条目，以供旧版版数据查询时优先调用。
# 　　　　　　　如前例将处理为：melon,西瓜、melon_block,西瓜，~melon,西瓜片，melon_slice,西瓜片
#
# 2.扩　展：1.12 中的单个 ID 对应了新版中的多个 ID，且旧 ID 可能与拆分后的 ID 之一重名。
#
# 　　　　　例一：旧一对新多，旧 ID 消失。
# 　　　　　　　　具体例子：1.12 中的 double_plant 指各种大型花，
# 　　　　　　　　1.13 中各种大型花具有了各自的 ID，且 double_plant 被取消。
# 　　　　　　　　此种情况下，旧版数据中原则上不会存在新版ID，可使用唯一 Key 方式查询。
# 　　　　　　　　本表中对于这种情况的 ID 没有特别标记（因对实际查询过程并无益处）。
#
# 　　　　　例二：旧一对新多，旧 ID 仍存在。
# 　　　　　　　　具体例子：1.12 中的 stone 指各种石头（石头、三色岩及磨制三色岩），但新版只指『石头』。
# 　　　　　　　　ID 写法为：~id，且与同名 ID 并存。
# 　　　　　　　　此种情况下，在数据版本为旧版时，首先查找带有~的对应ID，如未找到再查找无前缀的ID。
#
# 3.合　并：旧多对新一（不姓工藤），旧 ID 仍存在。
# 　　　　　即：1.12 中的多个 ID 对应了新版中的单个 ID，且旧 ID 之一可能与合并后的新 ID 重名。
# 　　　　　例如：1.12 中阳光传感器、反向阳光传感器分别拥有 ID：daylight_detector、daylight_detector_inverted，
# 　　　　　　　　在新版中，ID 被合并为 daylight_detector。
# 　　　　　ID 写法为：-id，且与同名 ID 并存。
# 　　　　　此种情况下，在数据版本为新版时，在扫描过无前缀ID后，应再扫描是否有-前缀的ID。
# 　　　　　（注意：合并前的方块除去重名项后，至少应有一项可获得物品形式，否则无意义，也不会存在于下表中。
# 　　　　　　　　　由于旧多对新一的情况通常是合并冗余 ID（如燃烧中的熔炉、激活的中继器等），
# 　　　　　　　　　在本表中实际上不存在这类 ID，但保留该形式的查询流程，以供未来可能的情况使用）
#
# 以上新旧 ID 撰写及赴加前缀的条目无顺序要求（原则上是先旧后新）。
# 综上所述，查找数据时，具体执行流程如下：
#
# 1.版本判断：判断数据版本是 1.12 还是 1.13；
#
# 2.数据版本为 1.13：
# 　1.检查查询的 ID 是否包含在列表中，如果没有，则返回未找到，并跳出执行；
# 　2.如查询的 ID 在列表中，再次扫描是否包含带-前缀的 ID，如有则提示用户该 ID 包含多种情况。
#
# 3.数据版本为 1.12：
# 　1.将查询的 ID 添加~前缀，然后检查是否包含在列表中，
# 　　如果是，则意味着玩家可能期望的是合并后的单一ID，给出提示并跳出执行；
# 　2.检查查询的 ID（此时无前缀）是否包含在列表中，如果没有则返回未找到。
# 　　注意，此时新旧版本完全不同的扩展前 ID（如 planks，新版中变成6种木板ID）视作用户对一对多知情，不会再额外提示。
#
# 总结：1.12先找~前缀，再找精确匹配；1.13 先找精确匹配，再找-前缀。
#
# 注1：虽然某些物品/方块原则上不可能在正常游戏中以物品形式获得（如活塞头），本表并不排除这些物品/方块。
# 注2：由于 JE 1.14 部分物品 ID 与新版（1.13）条目重复，只是更新了翻译，本表格中目前暂不启用，全部注释掉。

air,空气
purple_wool,紫色羊毛
blue_wool,蓝色羊毛
brown_wool,棕色羊毛
green_wool,绿色羊毛
red_wool,红色羊毛
black_wool,黑色羊毛

# 蒲公英的旧 ID 为 yellow_flower
yellow_flower,蒲公英
dandelion,蒲公英

# red_flower 旧一对新多，旧 ID 消失
red_flower,红花（虞美人/兰花/绒球葱/茜草花/红色、橙色、白色、粉红色郁金香/滨菊）
poppy,虞美人
blue_orchid,兰花
allium,绒球葱
azure_bluet,茜草花
red_tulip,红色郁金香
orange_tulip,橙色郁金香
white_tulip,白色郁金香
pink_tulip,粉红色郁金香
oxeye_daisy,滨菊

#cornflower,矢车菊（JE1.14）
#lily_of_the_valley,铃兰（JE1.14）
#wither_rose,凋零玫瑰（JE1.14）
brown_mushroom,棕色蘑菇
red_mushroom,红色蘑菇
gold_block,金块
iron_block,铁块
wooden_slab,木台阶（橡木/云杉/白桦/丛林/金合欢/深色橡木台阶）
oak_slab,橡木台阶
spruce_slab,云杉木台阶
birch_slab,白桦木台阶
jungle_slab,丛林木台阶
acacia_slab,金合欢木台阶
dark_oak_slab,深色橡木台阶
~stone_slab,石台阶（各类石质台阶）
stone_slab,石台阶
#smooth_stone_slab,平滑石台阶（JE1.14）
sandstone_slab,砂岩台阶
petrified_oak_slab,石质木台阶
cobblestone_slab,圆石台阶
brick_slab,砖块台阶
stone_brick_slab,石砖台阶
nether_brick_slab,地狱砖台阶
quartz_slab,石英台阶

# 红砂岩台阶的旧 ID 为 stone_slab2
stone_slab2,红砂岩台阶
red_sandstone_slab,红砂岩台阶

purpur_slab,紫珀块台阶
prismarine_slab,海晶石台阶
prismarine_brick_slab,海晶石砖台阶
dark_prismarine_slab,暗海晶石台阶
smooth_quartz,平滑石英块
smooth_red_sandstone,平滑红砂岩
smooth_sandstone,平滑砂岩
smooth_stone,平滑石头

# 砖块的旧 ID 为 brick_block
brick_block,砖块
bricks,砖块

tnt,TNT
bookshelf,书架
mossy_cobblestone,苔石
obsidian,黑曜石
torch,火把
wall_torch,墙上的火把
end_rod,末地烛
chorus_plant,紫颂植物
chorus_flower,紫颂花
purpur_block,紫珀块
purpur_pillar,竖纹紫珀块
purpur_stairs,紫珀块楼梯
oak_stairs,橡木楼梯
spruce_stairs,云杉木楼梯
birch_stairs,白桦木楼梯
jungle_stairs,丛林木楼梯
acacia_stairs,金合欢木楼梯
dark_oak_stairs,深色橡木楼梯
chest,箱子
diamond_ore,钻石矿石
diamond_block,钻石块
crafting_table,工作台
farmland,耕地
furnace,熔炉
lit_furnace,燃烧中的熔炉
ladder,梯子
rail,铁轨
stone_stairs,圆石楼梯
cobblestone_stairs,圆石楼梯
lever,拉杆
stone_pressure_plate,石质压力板
oak_pressure_plate,橡木压力板
wooden_pressure_plate,橡木压力板
spruce_pressure_plate,云杉木压力板
birch_pressure_plate,白桦木压力板
jungle_pressure_plate,丛林木压力板
acacia_pressure_plate,金合欢木压力板
dark_oak_pressure_plate,深色橡木压力板
redstone_ore,红石矿石
lit_redstone_ore,发光的红石矿石
redstone_torch,红石火把
redstone_wall_torch,墙上的红石火把
unlit_redstone_torch,熄灭的红石火把
stone_button,石质按钮

# 雪片的旧 ID 为 snow_layer，新 ID 为 snow
snow_layer,雪
snow,雪

# 雪块的旧 ID 为 snow，新 ID 为 snow_block
~snow,雪块
snow_block,雪块

ice,冰
cactus,仙人掌
clay,粘土块
jukebox,唱片机

fence,橡木栅栏
oak_fence,橡木栅栏
spruce_fence,云杉木栅栏
birch_fence,白桦木栅栏
jungle_fence,丛林木栅栏
acacia_fence,金合欢栅栏
dark_oak_fence,深色橡木栅栏

# 此处为一特殊情况，1.13 前南瓜不区分是否雕刻，从 1.13 起区分，
# 故旧版数据中见到pumpkin无论是否雕刻，而新版数据中南瓜是否雕刻有两个ID
pumpkin,南瓜
~pumpkin,雕刻过的南瓜
carved_pumpkin,雕刻过的南瓜

netherrack,地狱岩
soul_sand,灵魂沙
glowstone,荧石
jack_o_lantern,南瓜灯
lit_pumpkin,南瓜灯
trapdoor,橡木活板门
oak_trapdoor,橡木活板门
spruce_trapdoor,云杉木活板门
birch_trapdoor,白桦木活板门
jungle_trapdoor,丛林木活板门
acacia_trapdoor,金合欢木活板门
dark_oak_trapdoor,深色橡木活板门

# 怪物蛋在 1.13 中的翻译改为『被虫蚀的＊＊』
monster_egg,怪物蛋（石头/圆石/石砖/苔石砖/裂石砖/錾制石砖怪物蛋）
infested_stone,被虫蚀的石头
infested_cobblestone,被虫蚀的圆石
infested_stone_bricks,被虫蚀的石砖
infested_mossy_stone_bricks,被虫蚀的苔石砖
infested_cracked_stone_bricks,被虫蚀的裂石砖
infested_chiseled_stone_bricks,被虫蚀的錾制石砖

stone_bricks,石砖
mossy_stone_bricks,苔石砖
cracked_stone_bricks,裂石砖
chiseled_stone_bricks,錾制石砖
brown_mushroom_block,棕色蘑菇方块
red_mushroom_block,红色蘑菇方块
mushroom_stem,蘑菇柄
iron_bars,铁栏杆
glass_pane,玻璃板

# melon 由西瓜变为西瓜片，西瓜拥有新名称 melon_block
melon,西瓜
~melon,西瓜片
melon_block,西瓜

vine,藤蔓
fence_gate,橡木栅栏门
oak_fence_gate,橡木栅栏门
spruce_fence_gate,云杉木栅栏门
birch_fence_gate,白桦木栅栏门
jungle_fence_gate,丛林木栅栏门
acacia_fence_gate,金合欢木栅栏门
dark_oak_fence_gate,深色橡木栅栏门
brick_stairs,砖块楼梯
stone_brick_stairs,石砖楼梯
mycelium,菌丝
lily_pad,睡莲
waterlily,睡莲
nether_bricks,地狱砖块
nether_brick,地狱砖块
nether_brick_fence,地狱砖栅栏门
nether_brick_stairs,地狱砖楼梯
enchanting_table,附魔台
end_portal_frame,末地传送门框架
end_stone,末地石
end_stone_bricks,末地石砖
end_bricks,末地石砖
redstone_lamp,红石灯
sandstone_stairs,砂岩楼梯
emerald_ore,绿宝石矿石
ender_chest,末地箱
tripwire_hook,绊线钩
tripwire,绊线
emerald_block,绿宝石块
beacon,信标

# cobblestone_wall 在新版中单指圆石墙，苔石墙具有新名称
~cobblestone_wall,圆石墙/苔石墙
cobblestone_wall,圆石墙
mossy_cobblestone_wall,苔石墙

wooden_button,橡木按钮
oak_button,橡木按钮
spruce_button,云杉木按钮
birch_button,白桦木按钮
jungle_button,丛林木按钮
acacia_button,金合欢木按钮
dark_oak_button,深色橡木按钮

# anvil 旧一对新多，旧 ID 保留
~anvil,铁砧（3种损坏程度）
anvil,铁砧
chipped_anvil,开裂的铁砧
damaged_anvil,损坏的铁砧

trapped_chest,陷阱箱
light_weighted_pressure_plate,轻质测重压力板
heavy_weighted_pressure_plate,重质测重压力板
daylight_detector,阳光传感器
redstone_block,红石块

# 石英矿石的旧 ID 为 quartz_ore
quartz_ore,下界石英矿石
nether_quartz_ore,下界石英矿石

hopper,漏斗

# quartz_block 旧一对新多，旧 ID 复用
quartz_block,石英块
~quartz_block,石英块/錾制石英块/竖纹石英块
chiseled_quartz_block,錾制石英块
quartz_pillar,竖纹石英块

quartz_stairs,石英楼梯
activator_rail,激活铁轨
dropper,投掷器

# stained_hardened_clay 旧一对新多，旧 ID 消失
stained_hardened_clay,染色陶瓦（16色）
white_terracotta,白色陶瓦
orange_terracotta,橙色陶瓦
magenta_terracotta,品红色陶瓦
light_blue_terracotta,淡蓝色陶瓦
yellow_terracotta,黄色陶瓦
lime_terracotta,黄绿色陶瓦
pink_terracotta,粉红色陶瓦
gray_terracotta,灰色陶瓦
light_gray_terracotta,淡灰色陶瓦
cyan_terracotta,青色陶瓦
purple_terracotta,紫色陶瓦
blue_terracotta,蓝色陶瓦
brown_terracotta,棕色陶瓦
green_terracotta,绿色陶瓦
red_terracotta,红色陶瓦
black_terracotta,黑色陶瓦

iron_trapdoor,铁活板门
hay_block,干草块

# carpet 旧一对新多，旧 ID 消失
carpet,地毯（16色）
white_carpet,白色地毯
orange_carpet,橙色地毯
magenta_carpet,品红色地毯
light_blue_carpet,淡蓝色地毯
yellow_carpet,黄色地毯
lime_carpet,黄绿色地毯
pink_carpet,粉红色地毯
gray_carpet,灰色地毯
light_gray_carpet,棕色地毯
cyan_carpet,青色地毯
purple_carpet,紫色地毯
blue_carpet,蓝色地毯
brown_carpet,棕色地毯
green_carpet,绿色地毯
red_carpet,红色地毯
black_carpet,黑色地毯

# 陶瓦在新版中重命名为 terracotta
hardened_clay,陶瓦
terracotta,陶瓦

coal_block,煤炭块
packed_ice,浮冰
slime_block,粘液块
slime,粘液块
grass_path,草径

# double_plant 旧一对新多，旧 ID 消失
double_plant,大型花（向日葵/欧丁香/双草丛/大型蕨/玫瑰丛/牡丹）
sunflower,向日葵
lilac,欧丁香
rose_bush,玫瑰丛
peony,牡丹
tall_grass,高草
large_fern,大型蕨

# stained_glass 旧一对新多，旧 ID 消失
stained_glass,染色玻璃（16色）
white_stained_glass,白色玻璃
orange_stained_glass,橙色玻璃
magenta_stained_glass,品红色玻璃
light_blue_stained_glass,淡蓝色玻璃
yellow_stained_glass,黄色玻璃
lime_stained_glass,黄绿色玻璃
pink_stained_glass,粉红色玻璃
gray_stained_glass,灰色玻璃
light_gray_stained_glass,淡灰色玻璃
cyan_stained_glass,青色玻璃
purple_stained_glass,紫色玻璃
blue_stained_glass,蓝色玻璃
brown_stained_glass,棕色玻璃
green_stained_glass,绿色玻璃
red_stained_glass,红色玻璃
black_stained_glass,黑色玻璃

# stained_glass_pane 旧一对新多，旧 ID 消失
stained_glass_pane,染色玻璃板（16色）
white_stained_glass_pane,白色玻璃板
orange_stained_glass_pane,橙色玻璃板
magenta_stained_glass_pane,品红色玻璃板
light_blue_stained_glass_pane,淡蓝色玻璃板
yellow_stained_glass_pane,黄色玻璃板
lime_stained_glass_pane,黄绿色玻璃板
pink_stained_glass_pane,粉红色玻璃板
gray_stained_glass_pane,灰色玻璃板
light_gray_stained_glass_pane,淡灰色玻璃板
cyan_stained_glass_pane,青色玻璃板
purple_stained_glass_pane,紫色玻璃板
blue_stained_glass_pane,蓝色玻璃板
brown_stained_glass_pane,棕色玻璃板
green_stained_glass_pane,绿色玻璃板
red_stained_glass_pane,红色玻璃板
black_stained_glass_pane,黑色玻璃板

# prismarine 旧一对新多，旧 ID 复用
prismarine,海晶石
~prismarine,海晶石（海晶石/海晶石砖/暗海晶石）
prismarine_bricks,海晶石砖
dark_prismarine,暗海晶石

prismarine_stairs,海晶石楼梯
prismarine_brick_stairs,海晶石砖楼梯
dark_prismarine_stairs,暗海晶石楼梯
sea_lantern,海晶灯

# red_sandstone 旧一对新多，旧 ID 复用
red_sandstone,红砂岩
~red_sandstone,红砂岩/錾制红砂岩,切制红砂岩
chiseled_red_sandstone,錾制红砂岩
cut_red_sandstone,切制红砂岩

red_sandstone_stairs,红砂岩楼梯
magma_block,岩浆块
magma,岩浆块
nether_wart_block,地狱疣块
red_nether_bricks,红色地狱砖块
red_nether_brick,红色地狱砖块
bone_block,骨块
observer,侦测器
shulker_box,潜影盒
white_shulker_box,白色潜影盒
orange_shulker_box,白色潜影盒
magenta_shulker_box,品红色潜影盒
light_blue_shulker_box,淡蓝色潜影盒
yellow_shulker_box,黄色潜影盒
lime_shulker_box,黄绿色潜影盒
pink_shulker_box,粉红色潜影盒
gray_shulker_box,灰色潜影盒
light_gray_shulker_box,淡灰色潜影盒
silver_shulker_box,淡灰色潜影盒
cyan_shulker_box,青色潜影盒
purple_shulker_box,紫色潜影盒
blue_shulker_box,蓝色潜影盒
brown_shulker_box,棕色潜影盒
green_shulker_box,绿色潜影盒
red_shulker_box,红色潜影盒
black_shulker_box,黑色潜影盒
white_glazed_terracotta,白色带釉陶瓦
orange_glazed_terracotta,橙色带釉陶瓦
magenta_glazed_terracotta,品红色带釉陶瓦
light_blue_glazed_terracotta,淡蓝色带釉陶瓦
yellow_glazed_terracotta,黄色带釉陶瓦
lime_glazed_terracotta,黄绿色带釉陶瓦
pink_glazed_terracotta,粉红色带釉陶瓦
gray_glazed_terracotta,灰色带釉陶瓦
light_gray_glazed_terracotta,淡灰色带釉陶瓦
silver_glazed_terracotta,淡灰色带釉陶瓦
cyan_glazed_terracotta,青色带釉陶瓦
purple_glazed_terracotta,紫色带釉陶瓦
blue_glazed_terracotta,蓝色带釉陶瓦
brown_glazed_terracotta,棕色带釉陶瓦
green_glazed_terracotta,绿色带釉陶瓦
red_glazed_terracotta,红色带釉陶瓦
black_glazed_terracotta,黑色带釉陶瓦
concrete,混凝土（16色）
white_concrete,白色混凝土
orange_concrete,橙色混凝土
magenta_concrete,品红色混凝土
light_blue_concrete,淡蓝色混凝土
yellow_concrete,黄色混凝土
lime_concrete,黄绿色混凝土
pink_concrete,粉红色混凝土
gray_concrete,灰色混凝土
light_gray_concrete,淡灰色混凝土
cyan_concrete,青色混凝土
purple_concrete,紫色混凝土
blue_concrete,蓝色混凝土
brown_concrete,棕色混凝土
green_concrete,绿色混凝土
red_concrete,红色混凝土
black_concrete,黑色混凝土
concrete_powder,混凝土粉末（16色）
white_concrete_powder,白色混凝土粉末
orange_concrete_powder,橙色混凝土粉末
magenta_concrete_powder,品红色混凝土粉末
light_blue_concrete_powder,淡蓝色混凝土粉末
yellow_concrete_powder,黄色混凝土粉末
lime_concrete_powder,黄绿色混凝土粉末
pink_concrete_powder,粉红色混凝土粉末
gray_concrete_powder,灰色混凝土粉末
light_gray_concrete_powder,淡灰色混凝土粉末
cyan_concrete_powder,青色混凝土粉末
purple_concrete_powder,紫色混凝土粉末
blue_concrete_powder,蓝色混凝土
brown_concrete_powder,棕色混凝土粉末
green_concrete_powder,绿色混凝土粉末
red_concrete_powder,红色混凝土粉末
black_concrete_powder,黑色混凝土粉末
turtle_egg,海龟蛋
dead_tube_coral_block,失活的管珊瑚块
dead_brain_coral_block,失活的脑纹珊瑚块
dead_bubble_coral_block,失活的气泡珊瑚块
dead_fire_coral_block,失活的火珊瑚块
dead_horn_coral_block,失活的鹿角珊瑚块
tube_coral_block,管珊瑚块
brain_coral_block,脑纹珊瑚块
bubble_coral_block,气泡珊瑚块
fire_coral_block,火珊瑚块
horn_coral_block,鹿角珊瑚块
tube_coral,管珊瑚
brain_coral,脑纹珊瑚
bubble_coral,气泡珊瑚
fire_coral,火珊瑚
horn_coral,鹿角珊瑚
dead_tube_coral,失活的管珊瑚
dead_brain_coral,失活的脑纹珊瑚
dead_bubble_coral,失活的气泡珊瑚
dead_fire_coral,失活的火珊瑚
dead_horn_coral,失活的鹿角珊瑚
tube_coral_fan,管珊瑚扇
tube_coral_wall_fan,墙上的管珊瑚扇
brain_coral_fan,脑纹珊瑚扇
brain_coral_wall_fan,墙上的脑纹珊瑚扇
bubble_coral_fan,气泡珊瑚扇
bubble_coral_wall_fan,墙上的气泡珊瑚扇
fire_coral_fan,火珊瑚扇
fire_coral_wall_fan,墙上的火珊瑚扇
horn_coral_fan,鹿角珊瑚扇
horn_coral_wall_fan,墙上的鹿角珊瑚扇
dead_tube_coral_fan,失活的管珊瑚扇
dead_tube_coral_wall_fan,墙上的失活的管珊瑚扇
dead_brain_coral_fan,失活的脑纹珊瑚扇
dead_brain_coral_wall_fan,墙上的失活的脑纹珊瑚扇
dead_bubble_coral_fan,失活的气泡珊瑚扇
dead_bubble_coral_wall_fan,墙上的失活的气泡珊瑚扇
dead_fire_coral_fan,失活的火珊瑚扇
dead_fire_coral_wall_fan,墙上的失活的火珊瑚扇
dead_horn_coral_fan,失活的鹿角珊瑚扇
dead_horn_coral_wall_fan,墙上的失活的鹿角珊瑚扇
